Data below is obtained from FASTA file:  "/Users/Mana/Dropbox/ResCons/Demo files/7_Description_ID Extractor/Sequences_demo.fasta"
Total number of sequences present in FASTA file:  677
Number of unique Descriptions present among them:  38

### Following are the unique Descriptions extracted: ###

Description, Count
inorganic pyrophosphatase,275
pyrophosphatase,185
potassium transporter,50
MULTISPECIES: inorganic pyrophosphatase,28
manganese-dependent inorganic pyrophosphatase,21
V-type H(+)-translocating pyrophosphatase,19
putative manganese-dependent inorganic pyrophosphatase,14
inorganic diphosphatase,9
membrane-bound proton-translocating pyrophosphatase,8
MULTISPECIES: pyrophosphatase,8
Inorganic pyrophosphatase,8
Manganese-dependent inorganic pyrophosphatase,7
"inorganic pyrophosphatase, partial",5
MULTISPECIES: potassium transporter,5
"pyrophosphatase, partial",3
Inorganic pyrophosphatase/exopolyphosphatase,3
ADP-ribose pyrophosphatase,3
pyrophosphate-energized proton pump,2
inorganic pyrophosphatase PpaC,2
MULTISPECIES: V-type H(+)-translocating pyrophosphatase,2
MULTISPECIES: Inorganic pyrophosphatase/exopolyphosphatase,2
MULTISPECIES: Inorganic pyrophosphatase,2
v-type h(+)-translocating pyrophosphatase,1
putative manganese-dependent inorganic pyrophosphatase domain protein,1
putative K(+)-stimulated pyrophosphate-energized sodium pump HppA,1
potassium-transporting ATPase subunit C,1
"membrane-bound proton-translocating pyrophosphatase, partial",1
"manganese-dependent inorganic pyrophosphatase, partial",1
"inorganic, pyrophosphatase",1
inorganic pyrophosphatase Ppa,1
inorganic pyrophosphatase (PPase),1
Pyrophosphate-energized proton pump (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase) (Membrane-bound proton-translocating pyrophosphatase),1
Probable manganese-dependent inorganic pyrophosphatase,1
MutT/NUDIX family hydrolase /pyrophosphatase,1
MULTISPECIES: vacuolar-type H(+)-translocating pyrophosphatase,1
MULTISPECIES: soluble inorganic pyrophosphatase 2,1
MULTISPECIES: potassium-transporting ATPase subunit C,1
H+ translocating pyrophosphate synthase,1
