Data below is obtained from FASTA file:  "/Users/Mana/Dropbox/ResCons/Demo files/7_Description_ID Extractor/Sequences_demo.fasta"
Total number of sequences present in FASTA file:  677
Number of unique Identifiers present among them:  677

### Following are the unique Identifiers extracted: ###

Identifier, Count
YP_400400|Bacteria|Cyanobacteria|Oscillatoriophycideae|Synechococcus|,1
YP_010855|Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrio|,1
YP_008470079|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008469155|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008468228|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008467296|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008466368|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008443844|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008442928|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008442009|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008440163|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
YP_008304780|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008301788|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008298759|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008296579|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008284334|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008279945|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008278630|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008275839|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_008271898|Bacteria|Firmicutes|Bacilli|Listeria|,1
YP_006962479|Bacteria|Proteobacteria|Gammaproteobacteria|Erwinia|,1
YP_003935679|Bacteria|Firmicutes|Clostridia|Clostridium|,1
YP_002827688|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
YP_002825510|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
YP_002434845|Bacteria|Proteobacteria|Deltaproteobacteria|Miyazaki|,1
WP_022790867|Bacteria|Firmicutes|Bacilli|Weissella|,1
WP_022654065|Bacteria|Proteobacteria|Betaproteobacteria|Aquaspirillum|,1
WP_021019688|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_020882913|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacter|,1
WP_020789136|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_020779820|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_020747868|Bacteria|Proteobacteria|Betaproteobacteria|Ralstonia|,1
WP_020453213|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_020370549|Bacteria|Chlamydiae|Chlamydiales|Chlamydia|,1
WP_020235604|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_020234827|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_020192016|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_020191574|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_019958678|Bacteria|Proteobacteria|Betaproteobacteria|Vitreoscilla|,1
WP_019881363|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilus|,1
WP_019881361|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilus|,1
WP_019857622|Bacteria|Proteobacteria|Alphaproteobacteria|Mesorhizobium|,1
WP_019787151|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019783699|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019779475|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019777729|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019775694|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019770661|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019768520|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_019721279|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_019716355|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_019693833|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_019643840|Bacteria|Proteobacteria|Alphaproteobacteria|Novispirillum|,1
WP_019377011|Bacteria|Firmicutes|Bacilli|Virgibacillus|,1
WP_019349475|Bacteria|Proteobacteria|Gammaproteobacteria|Fluoribacter|,1
WP_019340094|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_019321985|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019320914|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019314164|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_019304035|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_019301108|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_019278597|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_019260015|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_019253402|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_019251601|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_019169330|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_018986159|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilus|,1
WP_018986158|Bacteria|Proteobacteria|Betaproteobacteria|Methylophilus|,1
WP_018765661|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_018674018|Bacteria|Firmicutes|Bacilli|Brevibacillus|,1
WP_018644628|Bacteria|Proteobacteria|Alphaproteobacteria|Bradyrhizobium|,1
WP_018508787|Bacteria|Proteobacteria|Betaproteobacteria|Thiobacillus|,1
WP_018494154|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_018483610|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_018345512|Bacteria|Proteobacteria|Gammaproteobacteria|Gallibacterium|,1
WP_018320050|Bacteria|Proteobacteria|Alphaproteobacteria|Bradyrhizobium|,1
WP_018241521|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_018094731|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_018070494|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_018030336|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_017993573|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_017990978|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_017963788|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_017959879|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
