Data below is obtained from fasta file:  "C:/Users/Mana/Dropbox/ResCons/Demo Files/Description Extractor/Sequences_demo.fasta"
Total number of sequences present in fasta file:  677
Number of unique Identifiers present among them:  677

### Following are the unique Identifiers extracted: ###

Identifier, Count
YP_400400,1
YP_010855,1
YP_008470079,1
YP_008469155,1
YP_008468228,1
YP_008467296,1
YP_008466368,1
YP_008443844,1
YP_008442928,1
YP_008442009,1
YP_008440163,1
YP_008304780,1
YP_008301788,1
YP_008298759,1
YP_008296579,1
YP_008284334,1
YP_008279945,1
YP_008278630,1
YP_008275839,1
YP_008271898,1
YP_006962479,1
YP_003935679,1
YP_002827688,1
YP_002825510,1
YP_002434845,1
WP_022790867,1
WP_022654065,1
WP_021019688,1
WP_020882913,1
WP_020789136,1
WP_020779820,1
WP_020747868,1
WP_020453213,1
WP_020370549,1
WP_020235604,1
WP_020234827,1
WP_020192016,1
WP_020191574,1
WP_019958678,1
WP_019881363,1
WP_019881361,1
WP_019857622,1
WP_019787151,1
WP_019783699,1
WP_019779475,1
WP_019777729,1
WP_019775694,1
WP_019770661,1
WP_019768520,1
WP_019721279,1
WP_019716355,1
WP_019693833,1
WP_019643840,1
WP_019377011,1
WP_019349475,1
WP_019340094,1
WP_019321985,1
WP_019320914,1
WP_019314164,1
WP_019304035,1
WP_019301108,1
WP_019278597,1
WP_019260015,1
WP_019253402,1
WP_019251601,1
WP_019169330,1
WP_018986159,1
WP_018986158,1
WP_018765661,1
WP_018674018,1
WP_018644628,1
WP_018508787,1
WP_018494154,1
WP_018483610,1
WP_018345512,1
WP_018320050,1
WP_018241521,1
WP_018094731,1
WP_018070494,1
WP_018030336,1
WP_017993573,1
WP_017990978,1
WP_017963788,1
WP_017959879,1
WP_017805069,1
WP_017769100,1
WP_017723460,1
WP_017695792,1
WP_017675534,1
WP_017646328,1
WP_017554410,1
WP_017551344,1
WP_017530085,1
WP_017464993,1
WP_017454363,1
WP_017450147,1
WP_017420342,1
WP_017403761,1
WP_017368826,1
WP_017365968,1
WP_017365832,1
WP_017362007,1
WP_017361769,1
WP_017353996,1
WP_017337061,1
WP_017250242,1
WP_017211352,1
WP_017209936,1
WP_017175256,1
WP_016944427,1
WP_016931031,1
WP_016919059,1
WP_016897108,1
WP_016779241,1
WP_016769477,1
WP_016742529,1
WP_016734172,1
WP_016717706,1
WP_016569372,1
WP_016527454,1
WP_016511654,1
WP_016504506,1
WP_016503021,1
WP_016497835,1
WP_016484715,1
WP_016398577,1
WP_016397428,1
WP_016396690,1
WP_016386954,1
WP_016386581,1
WP_016385938,1
WP_016384304,1
WP_016265125,1
WP_016210172,1
WP_016198121,1
WP_015922690,1
WP_015900736,1
WP_015892198,1
WP_015852120,1
WP_015841559,1
WP_015841519,1
WP_015816573,1
WP_015809866,1
WP_015787848,1
WP_015787840,1
WP_015782909,1
WP_015780373,1
WP_015692640,1
WP_015570764,1
WP_015565084,1
WP_015563819,1
WP_015558985,1
WP_015550870,1
WP_015549491,1
WP_015548801,1
WP_015537065,1
WP_015532152,1
WP_015524078,1
WP_015516153,1
WP_015453478,1
WP_015438357,1
WP_015418626,1
WP_015385181,1
WP_015380375,1
WP_015368588,1
WP_015359374,1
WP_015358692,1
WP_015250802,1
WP_015213675,1
WP_015085735,1
WP_015084756,1
WP_015071517,1
WP_015022497,1
WP_015011659,1
WP_015010071,1
WP_014968287,1
WP_014939983,1
WP_014920365,1
WP_014918719,1
WP_014896363,1
WP_014878561,1
WP_014854012,1
WP_014848021,1
WP_014847712,1
WP_014766229,1
WP_014761718,1
WP_014642985,1
WP_014633932,1
WP_014626254,1
WP_014598590,1
WP_014598405,1
WP_014568382,1
WP_014548176,1
WP_014547160,1
WP_014521415,1
WP_014414363,1
WP_014414175,1
WP_014412549,1
WP_014303875,1
WP_014115859,1
WP_014082009,1
WP_014046715,1
WP_014009018,1
WP_013990092,1
WP_013942026,1
WP_013935175,1
WP_013934867,1
WP_013819010,1
WP_013818732,1
WP_013770480,1
WP_013770022,1
WP_013769723,1
WP_013727916,1
WP_013725365,1
WP_013724791,1
WP_013700699,1
WP_013668924,1
WP_013641975,1
WP_013628456,1
WP_013626950,1
WP_013621526,1
WP_013621525,1
WP_013598066,1
WP_013572003,1
WP_013565867,1
WP_013563980,1
WP_013502473,1
WP_013500093,1
WP_013496954,1
WP_013488003,1
WP_013468955,1
WP_013454921,1
WP_013452921,1
WP_013449332,1
WP_013438004,1
WP_013419670,1
WP_013418357,1
WP_013377660,1
WP_013360867,1
WP_013354237,1
WP_013347472,1
WP_013308398,1
WP_013308093,1
WP_013298395,1
WP_013296819,1
WP_013288994,1
WP_013283651,1
WP_013242650,1
WP_013237712,1
WP_013234882,1
WP_013233200,1
WP_013211821,1
WP_013205449,1
WP_013191588,1
WP_013167627,1
WP_013162181,1
WP_013161874,1
WP_013117977,1
WP_013116745,1
WP_013115868,1
WP_013108020,1
WP_013103949,1
WP_013083332,1
WP_013068185,1
WP_013065626,1
WP_013057209,1
WP_013022965,1
WP_013012555,1
WP_012996042,1
WP_012975242,1
WP_012973635,1
WP_012972078,1
WP_012969564,1
WP_012968118,1
WP_012947940,1
WP_012946832,1
WP_012946823,1
WP_012937989,1
WP_012926964,1
WP_012925361,1
WP_012910950,1
WP_012909838,1
WP_012898373,1
WP_012897318,1
WP_012880463,1
WP_012861396,1
WP_012824142,1
WP_012820021,1
WP_012808385,1
WP_012805356,1
WP_012781166,1
WP_012762538,1
WP_012759330,1
WP_012756898,1
WP_012723165,1
WP_012709683,1
WP_012707541,1
WP_012680041,1
WP_012661359,1
WP_012657953,1
WP_012642096,1
WP_012624600,1
WP_012611569,1
WP_012570228,1
WP_012560469,1
WP_012548610,1
WP_012534659,1
WP_012505933,1
WP_012505483,1
WP_012496152,1
WP_012485505,1
WP_012474609,1
WP_012474526,1
WP_012466119,1
WP_012466118,1
WP_012465752,1
WP_012451803,1
WP_012449440,1
WP_012437453,1
WP_012429498,1
WP_012425260,1
WP_012417957,1
WP_012390364,1
WP_012388304,1
WP_012383593,1
WP_012383223,1
WP_012341299,1
WP_012332509,1
WP_012295824,1
WP_012269497,1
WP_012268783,1
WP_012259161,1
WP_012257190,1
WP_012254400,1
WP_012246582,1
WP_012241655,1
WP_012238277,1
WP_012235620,1
WP_012233568,1
WP_012195066,1
WP_012195048,1
WP_012149812,1
WP_012140089,1
WP_012130706,1
WP_012116165,1
WP_012114515,1
WP_012101557,1
WP_012047904,1
WP_012028429,1
WP_012027585,1
WP_012023557,1
WP_012023556,1
WP_012011899,1
WP_012007318,1
WP_012004923,1
WP_011992054,1
WP_011990461,1
WP_011950166,1
WP_011945166,1
WP_011927946,1
WP_011914701,1
WP_011909154,1
WP_011892305,1
WP_011890266,1
WP_011889998,1
WP_011862531,1
WP_011862514,1
WP_011840726,1
WP_011837329,1
WP_011835728,1
WP_011825412,1
WP_011823290,1
WP_011819891,1
WP_011819874,1
WP_011818020,1
WP_011818003,1
WP_011814791,1
WP_011798810,1
WP_011790895,1
WP_011749895,1
WP_011745253,1
WP_011745042,1
WP_011731048,1
WP_011707292,1
WP_011706785,1
WP_011680773,1
WP_011678222,1
WP_011676823,1
WP_011673369,1
WP_011672451,1
WP_011671665,1
WP_011670537,1
WP_011667581,1
WP_011664229,1
WP_011661499,1
WP_011653868,1
WP_011651312,1
WP_011640478,1
WP_011640036,1
WP_011633881,1
WP_011624271,1
WP_011611179,1
WP_011609664,1
WP_011607621,1
WP_011607615,1
WP_011592877,1
WP_011586457,1
WP_011584630,1
WP_011577733,1
WP_011562156,1
WP_011555531,1
WP_011551782,1
WP_011550983,1
WP_011510652,1
WP_011509203,1
WP_011503084,1
WP_011501121,1
WP_011480461,1
WP_011475981,1
WP_011473112,1
WP_011470527,1
WP_011452116,1
WP_011451156,1
WP_011441528,1
WP_011439008,1
WP_011438658,1
WP_011407698,1
WP_011393891,1
WP_011392862,1
WP_011391956,1
WP_011389571,1
WP_011387907,1
WP_011381397,1
WP_011380096,1
WP_011376071,1
WP_011376054,1
WP_011374673,1
WP_011358011,1
WP_011357936,1
WP_011330570,1
WP_011327155,1
WP_011320263,1
WP_011315004,1
WP_011313812,1
WP_011304927,1
WP_011294476,1
WP_011294459,1
WP_011275340,1
WP_011263293,1
WP_011257818,1
WP_011252330,1
WP_011241279,1
WP_011225519,1
WP_011191024,1
WP_011183641,1
WP_011178977,1
WP_011173971,1
WP_011164653,1
WP_011164186,1
WP_011155463,1
WP_011150045,1
WP_011139589,1
WP_011136919,1
WP_011132146,1
WP_011132129,1
WP_011130626,1
WP_011112471,1
WP_011105929,1
WP_011099849,1
WP_011098691,1
WP_011091219,1
WP_011080710,1
WP_011078784,1
WP_011052280,1
WP_011038412,1
WP_011016138,1
WP_011015989,1
WP_011015853,1
WP_011015320,1
WP_011002272,1
WP_010991946,1
WP_010991556,1
WP_010969115,1
WP_010965437,1
WP_010960535,1
WP_010960476,1
WP_010959482,1
WP_010948454,1
WP_010944216,1
WP_010938927,1
WP_010932636,1
WP_010930982,1
WP_010915603,1
WP_010912198,1
WP_010907600,1
WP_010889201,1
WP_010864695,1
WP_010863389,1
WP_010845228,1
WP_010662040,1
WP_010661998,1
WP_009698861,1
WP_009607054,1
WP_009607051,1
WP_009566885,1
WP_009508394,1
WP_009493687,1
WP_009397414,1
WP_008379685,1
WP_005917771,1
WP_005915892,1
WP_005912608,1
WP_005766413,1
WP_005766260,1
WP_005717569,1
WP_005533700,1
WP_005526024,1
WP_005500361,1
WP_005450712,1
WP_005422520,1
WP_005313216,1
WP_004933594,1
WP_004755609,1
WP_004475108,1
WP_004420411,1
WP_004398785,1
WP_004210652,1
WP_004193098,1
WP_004192419,1
WP_004170922,1
WP_004162542,1
WP_004160088,1
WP_003897515,1
WP_003856061,1
WP_003812734,1
WP_003767967,1
WP_003706232,1
WP_003645032,1
WP_003620120,1
WP_003615025,1
WP_003605129,1
WP_003602246,1
WP_003600980,1
WP_003598036,1
WP_003594415,1
WP_003579130,1
WP_003570341,1
WP_003531185,1
WP_003529294,1
WP_003523485,1
WP_003520807,1
WP_003516686,1
WP_003512522,1
WP_003505020,1
WP_003502230,1
WP_003495179,1
WP_003477457,1
WP_003467326,1
WP_003467322,1
WP_003444040,1
WP_003429422,1
WP_003404502,1
WP_003381435,1
WP_003380637,1
WP_003349448,1
WP_003339812,1
WP_003330165,1
WP_003326092,1
WP_003298522,1
WP_003296352,1
WP_003290517,1
WP_003283075,1
WP_003255365,1
WP_003244067,1
WP_003185828,1
WP_003139748,1
WP_003135114,1
WP_003130319,1
WP_003101574,1
WP_003078406,1
WP_003054157,1
WP_003049793,1
WP_003046847,1
WP_003043618,1
WP_003033936,1
WP_002995846,1
WP_002990948,1
WP_002969403,1
WP_002961651,1
WP_002949760,1
WP_002931339,1
WP_002923599,1
WP_002920597,1
WP_002918504,1
WP_002916941,1
WP_002914586,1
WP_002910049,1
WP_002905909,1
WP_002905110,1
WP_002890025,1
WP_002886727,1
WP_002886641,1
WP_002878586,1
WP_002833077,1
WP_002831677,1
WP_002804918,1
WP_002770856,1
WP_002760848,1
WP_002734427,1
WP_002732961,1
WP_002732661,1
WP_002727965,1
WP_002726187,1
WP_002550873,1
WP_002550013,1
WP_002549556,1
WP_002495662,1
WP_002494627,1
WP_002494119,1
WP_002489468,1
WP_002485870,1
WP_002474182,1
WP_002468096,1
WP_002466143,1
WP_002458565,1
WP_002301907,1
WP_002298983,1
WP_002284776,1
WP_002283749,1
WP_002282868,1
WP_002281052,1
WP_002275741,1
WP_002274790,1
WP_002268074,1
WP_002264043,1
WP_002262586,1
WP_002259208,1
WP_002248262,1
WP_002232159,1
WP_002219633,1
WP_002217745,1
WP_002190519,1
WP_002189051,1
WP_002178697,1
WP_002176422,1
WP_002142595,1
WP_002131590,1
WP_002126990,1
WP_002123821,1
WP_002106471,1
WP_002104078,1
WP_002092623,1
